Source,Target,Weight
uber/AutoDispose,MinecraftForge/MinecraftForge,1
Tencent/GT,lovetuzitong/MultiImageSelector,1
netty/netty,mrniko/netty-socketio,1
querydsl/querydsl,alibaba/druid,1
google/gson,square/tape,1
apache/jmeter,spring-cloud/spring-cloud-netflix,1
koral--/android-gif-drawable,mockito/mockito,1
springfox/springfox,web3j/web3j,1
mikepenz/FastAdapter,PhilJay/MPAndroidChart,1
pwittchen/ReactiveNetwork,koral--/android-gif-drawable,1
LMAX-Exchange/disruptor,dianping/cat,1
square/okhttp,JakeWharton/ThreeTenABP,1
googlesamples/easypermissions,google/gson,1
alibaba/ARouter,alibaba/atlas,1
google/gson,JakeWharton/timber,1
CymChad/BaseRecyclerViewAdapterHelper,yhaolpz/FloatWindow,1
Alluxio/alluxio,apache/hive,1
lettuce-io/lettuce-core,web3j/web3j,1
ctripcorp/apollo,spotify/helios,1
LWJGL/lwjgl3,libgdx/libgdx,1
alibaba/druid,alibaba/ARouter,1
apereo/cas,NanoHttpd/nanohttpd,1
apache/flink,apache/rocketmq,1
resilience4j/resilience4j,apache/flink,1
apache/hive,Alluxio/alluxio,1
Jasonchenlijian/FastBle,crazycodeboy/TakePhoto,1
square/javapoet,square/tape,1
springfox/springfox,swagger-api/swagger-core,1
JohnPersano/SuperToasts,davideas/FlexibleAdapter,1
mockito/mockito,apache/cordova-android,1
square/moshi,facebook/stetho,1
googlesamples/easypermissions,google/guice,1
zxing/zxing,amirzaidi/Launcher3,1
FasterXML/jackson-databind,aurelhubert/ahbottomnavigation,1
bytedeco/javacv,WritingMinds/ffmpeg-android-java,1
elastic/elasticsearch,apache/flink,1
eclipse/jetty.project,grpc/grpc-java,1
yanzhenjie/SwipeRecyclerView,square/javapoet,1
apache/kylin,apache/groovy,1
thingsboard/thingsboard,alibaba/atlas,1
eishay/jvm-serializers,FasterXML/jackson-databind,1
bazelbuild/bazel,googlemaps/android-maps-utils,1
sockeqwe/AdapterDelegates,sockeqwe/mosby,1
spring-projects/spring-boot,raphw/byte-buddy,1
wasabeef/glide-transformations,TeamNewPipe/NewPipe,1
square/retrofit,JakeWharton/timber,1
spring-cloud/spring-cloud-netflix,pushtorefresh/storio,1
SeleniumHQ/selenium,facebook/buck,1
googlesamples/easypermissions,googlesamples/google-services,1
googlemaps/android-maps-utils,google/gson,1
ReactiveX/RxJava,realm/realm-java,1
ChadCSong/ShineButton,willowtreeapps/spruce-android,1
pmd/pmd,json-path/JsonPath,1
firebase/quickstart-android,google/guice,1
google/auto,square/leakcanary,1
cglib/cglib,mockito/mockito,1
facebook/litho,bumptech/glide,1
dropwizard/dropwizard,graphql-java/graphql-java,1
alibaba/atlas,alibaba/fastjson,1
alibaba/druid,Activiti/Activiti,1
ReactiveX/RxJava,JakeWharton/RxRelay,1
TeamNewPipe/NewPipe,bumptech/glide,1
sparklemotion/nokogiri,junit-team/junit5,1
material-components/material-components-android,realm/realm-java,1
brettwooldridge/HikariCP,Activiti/Activiti,1
reactor/reactor-core,spring-projects/spring-petclinic,1
LuckSiege/PictureSelector,crazycodeboy/TakePhoto,1
zxing/zxing,apache/jmeter,1
spring-projects/spring-data-examples,spring-projects/spring-framework,1
lingochamp/FileDownloader,razerdp/BasePopup,1
apache/tomcat,apache/hive,1
ReactiveX/RxAndroid,square/okhttp,1
square/javapoet,google/guava,1
aws/aws-sdk-java,codecentric/spring-boot-admin,1
Blankj/awesome-java-leetcode,Blankj/AndroidUtilCode,1
lygttpod/SuperTextView,alibaba/vlayout,1
btraceio/btrace,spotify/helios,1
pushtorefresh/storio,btraceio/btrace,1
facebook/litho,react-native-community/react-native-video,1
dropwizard/dropwizard,Netflix/eureka,1
apache/zookeeper,apache/jmeter,1
apache/rocketmq,ethereum/ethereumj,1
luojilab/DDComponentForAndroid,scwang90/SmartRefreshLayout,1
pmd/pmd,JakeWharton/butterknife,1
apache/ignite,apache/flink,1
apache/rocketmq,apache/incubator-skywalking,1
pmd/pmd,netty/netty,1
spring-projects/spring-data-examples,querydsl/querydsl,1
googlemaps/android-maps-utils,google/guice,1
pwittchen/ReactiveNetwork,naver/pinpoint,1
spring-projects/spring-petclinic,reactor/reactor-core,1
razerdp/BasePopup,CarGuo/GSYVideoPlayer,1
prestodb/presto,facebook/litho,1
apache/storm,apache/groovy,1
rzwitserloot/lombok,apache/beam,1
mikepenz/FastAdapter,google/ExoPlayer,1
pushtorefresh/storio,zxing/zxing,1
apache/zookeeper,apache/kylin,1
apache/zeppelin,apache/hive,1
apache/cordova-android,pwittchen/ReactiveNetwork,1
flyway/flyway,Activiti/Activiti,1
googlemaps/android-maps-utils,firebase/quickstart-android,1
lettuce-io/lettuce-core,spockframework/spock,1
spotify/helios,ctripcorp/apollo,1
googlemaps/android-maps-utils,googlesamples/android-testing,1
facebook/buck,uber/AutoDispose,1
