name,created_at,closed_at,lifespan,pr_id,merged_at,merged
google/closure-compiler,2016-08-18 13:20:45 UTC,2016-08-19 16:30:37 UTC,1630,1962,,false
google/closure-compiler,2016-02-13 18:30:59 UTC,2016-03-22 23:35:16 UTC,55025,1539,,false
google/closure-compiler,2016-07-08 06:56:12 UTC,2016-07-08 23:33:21 UTC,997,1879,,false
google/closure-compiler,2016-07-15 00:21:04 UTC,2016-07-15 20:15:01 UTC,1194,1892,,false
google/closure-compiler,2016-01-09 00:09:49 UTC,2016-07-20 21:20:17 UTC,279191,1378,,false
google/closure-compiler,2016-11-20 13:08:42 UTC,2016-11-21 20:34:29 UTC,1886,2161,,false
google/closure-compiler,2016-10-03 23:41:04 UTC,2016-10-05 00:07:25 UTC,1466,2056,,false
google/closure-compiler,2016-03-16 11:29:42 UTC,2016-03-17 22:36:52 UTC,2107,1664,,false
google/closure-compiler,2016-02-26 17:51:51 UTC,2016-02-26 18:14:57 UTC,23,1590,,false
google/closure-compiler,2016-05-20 11:09:33 UTC,2016-05-20 23:29:46 UTC,740,1802,,false
google/closure-compiler,2016-01-05 14:13:54 UTC,2016-03-17 22:12:12 UTC,104159,1365,,false
google/closure-compiler,2016-03-24 16:27:15 UTC,2016-03-29 23:25:16 UTC,7618,1686,,false
google/closure-compiler,2016-03-02 07:33:59 UTC,2016-03-09 23:43:38 UTC,11050,1606,,false
google/closure-compiler,2015-12-23 01:37:12 UTC,2016-01-08 13:24:50 UTC,23747,1335,,false
google/closure-compiler,2016-03-22 12:13:57 UTC,2016-03-24 01:09:55 UTC,2216,1683,,false
google/closure-compiler,2016-11-13 14:06:22 UTC,2016-11-14 05:00:30 UTC,894,2147,,false
google/closure-compiler,2016-06-30 15:55:16 UTC,2016-07-07 23:28:41 UTC,10533,1870,,false
google/closure-compiler,2016-05-28 20:13:01 UTC,2016-06-03 18:08:40 UTC,8515,1823,,false
