name,repo_name,login,contributions
oracle/opengrok,oracle/opengrok,tarzanek,48
apache/beam,apache/beam,alanmyrvold,48
gocd/gocd,gocd/gocd,GaneshSPatil,48
apache/kafka,apache/kafka,omkreddy,48
owncloud/android,owncloud/android,sd1998,48
NLPchina/elasticsearch-sql,NLPchina/elasticsearch-sql,shi-yuan,47
neo4j/neo4j,neo4j/neo4j,jakewins,47
bazelbuild/bazel,bazelbuild/bazel,bazel-io,47
pmd/pmd,pmd/pmd,oowekyala,47
eclipse/che,eclipse/che,musienko-maxim,47
facebook/buck,facebook/buck,facebook-github-bot,47
confluentinc/ksql,confluentinc/ksql,bluemonk3y,47
elastic/elasticsearch,elastic/elasticsearch,tbrooks8,46
square/moshi,square/moshi,swankjesse,46
oracle/opengrok,oracle/opengrok,tulinkry,45
tronprotocol/java-tron,tronprotocol/java-tron,seanrobbins,45
eclipse/che,eclipse/che,mmorhun,44
processing/processing,processing/processing,benfry,44
TooTallNate/Java-WebSocket,TooTallNate/Java-WebSocket,marci4,44
firebase/quickstart-android,firebase/quickstart-android,samtstern,44
Justson/AgentWeb,Justson/AgentWeb,Justson,44
abel533/Mapper,abel533/Mapper,abel533,44
gocd/gocd,gocd/gocd,maheshp,44
arduino/Arduino,arduino/Arduino,facchinm,43
bazelbuild/bazel,bazelbuild/bazel,meteorcloudy,43
jamesdbloom/mockserver,jamesdbloom/mockserver,jamesdbloom,43
hibernate/hibernate-orm,hibernate/hibernate-orm,gbadner,43
CymChad/BaseRecyclerViewAdapterHelper,CymChad/BaseRecyclerViewAdapterHelper,CymChad,43
eclipse/che,eclipse/che,LahariGuntha,43
amirzaidi/Launcher3,amirzaidi/Launcher3,amirzaidi,42
h2oai/h2o-3,h2oai/h2o-3,jakubhava,42
Activiti/Activiti,Activiti/Activiti,Salaboy,42
apache/beam,apache/beam,rmannibucau,41
apache/storm,apache/storm,danny0405,41
owncloud/android,owncloud/android,jesmrec,41
bigbluebutton/bigbluebutton,bigbluebutton/bigbluebutton,ritzalam,41
jenkinsci/jenkins,jenkinsci/jenkins,batmat,41
Graylog2/graylog2-server,Graylog2/graylog2-server,bernd,41
vespa-engine/vespa,vespa-engine/vespa,vekterli,40
apache/zeppelin,apache/zeppelin,prabhjyotsingh,40
eclipse/che,eclipse/che,benoitf,40
apache/flink,apache/flink,sunjincheng121,40
MinecraftForge/MinecraftForge,MinecraftForge/MinecraftForge,HenryLoenwind,40
SonarSource/sonarqube,SonarSource/sonarqube,simonbrandhof,40
brettwooldridge/HikariCP,brettwooldridge/HikariCP,brettwooldridge,39
netty/netty,netty/netty,asarkar,39
MinecraftForge/MinecraftForge,MinecraftForge/MinecraftForge,temp1011,39
elastic/elasticsearch,elastic/elasticsearch,martijnvg,39
graphql-java/graphql-java,graphql-java/graphql-java,bbakerman,39
siacs/Conversations,siacs/Conversations,iNPUTmice,39
JanusGraph/janusgraph,JanusGraph/janusgraph,sjudeng,39
